INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (1, 1);
INSERT INTO TRAVELER VALUES (7, 0, 1984, '820 avenue de saint roche, Montpellier', 'Bastien', 'Paget', 'male', 'france', 'mensuel', 53.5);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (177, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (178, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (179, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (180, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (181, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (182, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (183, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (184, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (185, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (186, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (187, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (188, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (189, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (190, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (191, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (192, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (193, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (194, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (195, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (196, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (197, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (198, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (199, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (200, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (201, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (202, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (203, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (204, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (205, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (206, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (207, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (208, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (209, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (210, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (211, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (212, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (213, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (214, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (215, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (216, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (217, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (218, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (219, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (220, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (221, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (222, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (223, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (224, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (225, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (226, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (227, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (228, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (229, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (230, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (231, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (232, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (233, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (234, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (235, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (236, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (237, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (238, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (239, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (240, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (241, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (242, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (243, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (244, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (245, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (246, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (247, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (248, 1, 'UN_VOYAGE', 1.6);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (249, 1, 'UN_VOYAGE', 1.6);

INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (250, 1, 'FAMILLE', 6.5);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (251, 1, 'FAMILLE', 6.5);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (252, 1, 'FAMILLE', 6.5);
INSERT INTO TRAVELER (id, anonymous, subscription_type, subscription_fees) VALUES (253, 1, 'FAMILLE', 6.5);
*/
